# STEREO Data for run titled "RUN3"
#
# Total Number of Trials: 547
# Solved Trials: 100, 34.01360544217687% (of attempted solves), 18.281535648994517% (total)
# Solver Fails: 194, 65.98639455782313% (of attempted solves), 35.46617915904936% (total)
# Timeout Fails: 0, 0.0% (of attempted solves), 0.0% (total)
# Low Star Counts (<4): 253, 46.252285191956126%
# Total Data Collection Time: 0.4892876878316666 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     0     -999     26918     4     202.74846368499308     3.449443379570043     -999     -999     4.547389849001775
2     0     -999     32514     4     155.52129420594184     -2.3291115404772356     -999     -999     4.111420872999588
3     1     0.0010711664408546635     11836     7     316.45450927653667     5.816175159926999     316.454595499445     5.81510716640212     3.81387130098301
4     0     -999     3529     5     259.5026896426739     9.089626308337749     -999     -999     8.125351194001269
5     0     -999     30519     4     344.184571770315     -4.422706316387934     -999     -999     5.611450316995615
6     -1     -999     23955     3     326.983023295796     2.136332387701191     -999     -999     -999
7     1     0.0005900283578429581     35707     7     67.75386439650163     0.2651603715987054     67.75425905687278     0.26455376186196145     4.141554380999878
8     1     8.8103544972218e-05     31954     10     118.10796916947807     2.876195928445051     118.10731087921629     2.8760742325047577     0.34644538900465705
9     -1     -999     13047     2     41.14244174299852     -3.4599544784558462     -999     -999     -999
10     -1     -999     35701     1     45.274906191116884     1.087148928321778     -999     -999     -999
11     1     4.6152832767937685e-05     31248     10     292.7055478390996     1.5797946490227546     292.70663634973783     1.5799195947498554     0.24556801101425663
12     1     7.232582192947805e-05     18730     6     292.17597572230045     -6.999330842938209     292.1768921703165     -6.999485845130858     3.841253059974406
13     -1     -999     11463     0     150.93486680052337     -5.226429532988002     -999     -999     -999
14     -1     -999     35270     1     349.40020489359387     -2.1533093509714276     -999     -999     -999
15     -1     -999     31866     0     241.6575115452009     -0.15457162640962793     -999     -999     -999
16     0     -999     17123     5     228.88076527626546     -0.43268625161067276     -999     -999     6.00341810498503
17     -1     -999     6744     3     309.6650410743928     4.850599136222634     -999     -999     -999
18     -1     -999     30841     1     190.21837612774004     1.116481659257566     -999     -999     -999
19     0     -999     23208     4     148.64121445553909     3.64157155303271     -999     -999     4.1283497479744256
20     -1     -999     32415     3     354.4858493689393     -0.033626025091781066     -999     -999     -999
21     1     0.00042170403753176075     28582     6     161.39946375863164     -1.2259227488872093     161.39707429736117     -1.2256523131868882     4.089250424003694
22     -1     -999     10237     2     291.9225912968181     6.306618105971375     -999     -999     -999
23     -1     -999     18901     3     155.0655629607058     7.176814215453673     -999     -999     -999
24     0     -999     8831     4     42.36281235088584     11.308425993559672     -999     -999     4.665809888014337
25     1     2.591230242684994e-05     19131     6     294.39689604926303     4.461946349458132     294.39705669863906     4.461952647186202     4.507174141006544
26     1     0.0005641525365564157     1762     9     79.42164782573296     -7.603115334790079     79.42151263653452     -7.603696909694729     4.10684396099532
27     1     0.0004621993380025228     12688     6     16.894373952578537     -9.202142511032601     16.89477796230263     -9.201686810420727     4.300368137017358
28     -1     -999     26904     3     205.83117360242701     3.7138265808803017     -999     -999     -999
29     0     -999     17928     5     72.83303169703959     -3.1455756948350135     -999     -999     6.3316193770151585
30     -1     -999     15562     2     5.284939130299107     -5.43028793447182     -999     -999     -999
31     0     -999     5039     5     76.72359613843335     -9.32266914450847     -999     -999     6.25770262198057
32     1     0.0005720414544562979     34939     7     18.61782186480006     -2.292595691094696     18.616202167250563     -2.292095802806243     4.294879526976729
33     1     0.000975866555863282     20136     8     280.26210295119097     -8.812320219973515     280.2625239048824     -8.813307255418891     4.0042993100069
34     0     -999     33139     4     32.29159608507943     2.5036055644980886     -999     -999     3.8092803939944133
35     -1     -999     6242     2     357.1332688732498     -9.418076517972224     -999     -999     -999
36     0     -999     17715     4     166.82356191140272     -1.246086864344039     -999     -999     3.971790856012376
37     -1     -999     25024     3     60.68918096076757     -0.5295381588855227     -999     -999     -999
38     0     -999     11722     5     250.58536327330913     0.9392713036994103     -999     -999     6.305004041001666
39     -1     -999     13087     0     26.25087419690492     0.06326300062719488     -999     -999     -999
40     -1     -999     4157     3     210.02344867392017     -9.43869717963342     -999     -999     -999
41     -1     -999     15894     3     156.4265487723275     4.849648844532535     -999     -999     -999
42     -1     -999     28792     1     168.6487837775384     -3.4806019301056805     -999     -999     -999
43     -1     -999     32448     2     305.4608133447921     2.8334158412292334     -999     -999     -999
44     -1     -999     34758     1     206.54504179016118     -0.9351262828626341     -999     -999     -999
45     0     -999     15411     4     59.572876210624266     5.847862091657409     -999     -999     4.325131852005143
46     -1     -999     27752     2     261.2777065068903     -3.0709928847880508     -999     -999     -999
47     0     -999     33470     12     84.19597129970418     0.7070102805637091     -999     -999     13.047710465005366
48     0     -999     5047     5     76.34257066023439     -9.534133189519228     -999     -999     5.8842323669814505
49     0     -999     34892     5     112.16344457835758     3.0554596550582076     -999     -999     4.9073907940182835
50     -1     -999     29848     3     326.8878673842843     1.6620656301096257     -999     -999     -999
51     -1     -999     33757     1     159.37539568413536     2.26746938408058     -999     -999     -999
52     0     -999     8464     6     86.2411098147266     -11.138794263334095     -999     -999     8.936003662995063
53     -1     -999     19030     3     137.1723195711311     1.810462614537246     -999     -999     -999
54     -1     -999     6166     1     189.16272795193453     4.083538775410084     -999     -999     -999
55     -1     -999     9933     2     9.340418575012626     -0.28290318506072387     -999     -999     -999
56     0     -999     14185     4     278.8763806448918     -0.01739355514389748     -999     -999     3.989392271003453
57     0     -999     36671     5     0.08558006068798645     -2.3783441796895533     -999     -999     6.878229779977119
58     -1     -999     18536     3     225.6004033648197     -4.694430358433499     -999     -999     -999
59     0     -999     34453     5     159.60575727359287     -3.048568755486899     -999     -999     6.407565845001955
60     -1     -999     25957     3     32.86845697406626     3.454045055646812     -999     -999     -999
61     0     -999     822     6     92.21870045751247     -2.5447697764982435     -999     -999     8.39902375402744
62     0     -999     12681     4     40.65017405387301     -8.729507866301931     -999     -999     4.11485465199803
63     0     -999     595     5     39.83319008497796     -1.9253708523433106     -999     -999     6.289921003015479
64     -1     -999     6331     1     39.052514582730566     -5.408625944766507     -999     -999     -999
65     1     0.00016346025536651362     19753     6     271.2735476387172     -3.0730860712866424     271.2742142186734     -3.0728331998678726     4.018754154007183
66     0     -999     25821     4     184.13686700853177     -3.800267497888859     -999     -999     3.8932350119866896
67     1     0.0007315651374971196     1313     9     103.95617232390127     10.063695764994     103.95590335452324     10.062968557823236     4.5051930180052295
68     0     -999     19658     5     41.84217779270507     6.196732744811848     -999     -999     5.885061509994557
69     -1     -999     9770     1     65.35446098589699     -10.779176262895174     -999     -999     -999
70     -1     -999     17521     2     158.37847210428998     4.156114310563048     -999     -999     -999
71     -1     -999     13826     0     115.99440879656999     7.9736464713461475     -999     -999     -999
72     1     0.0004936672211149004     10311     10     88.37656732393198     0.49886724916004493     88.37624615484081     0.4984203508767433     0.3170671119878534
73     1     0.0012450899941501697     26514     6     213.34978880241434     2.23956671754643     213.34977140926645     2.238319540080536     4.145772784017026
74     -1     -999     33987     2     306.3059002210103     2.8555542785222467     -999     -999     -999
75     -1     -999     26086     1     59.59325517127655     3.250922075444351     -999     -999     -999
76     1     0.0005779167542690703     30639     7     303.2913564286442     0.025184656187761095     303.2918378343571     0.024566265883040044     4.676563849003287
77     1     0.00047307125027716286     36737     6     20.69788084274731     -2.351489498608635     20.698980380296874     -2.351974327940114     4.187204385001678
78     -1     -999     33109     2     150.86875382226899     0.5961978420332168     -999     -999     -999
79     0     -999     8811     4     231.80448358598537     -10.018970621331983     -999     -999     4.145735352998599
80     0     -999     18302     7     106.46766505421697     4.63172281125573     -999     -999     23.50795051199384
81     -1     -999     4725     2     331.5000893924361     -11.162824462909665     -999     -999     -999
82     0     -999     6212     5     116.62241553059795     12.298040471349404     -999     -999     6.032007734989747
83     -1     -999     8961     0     32.91621661894069     10.911340510742173     -999     -999     -999
84     0     -999     17031     4     31.09045805530601     0.7254945685332677     -999     -999     4.236314669018611
85     0     -999     22586     5     107.13879602876362     -6.761573935471253     -999     -999     5.663980165001703
86     -1     -999     34259     3     230.45809703230492     -1.5960456342255247     -999     -999     -999
87     0     -999     28531     4     178.89860374111467     0.7462231003013099     -999     -999     4.4468305009941105
88     0     -999     35603     4     156.6595895689211     -2.3988612904940343     -999     -999     3.993549720995361
89     -1     -999     680     2     326.78507336648823     10.220201336617246     -999     -999     -999
90     0     -999     20067     4     343.870707665621     -3.058490273462845     -999     -999     4.439540318009676
91     -1     -999     4836     2     318.1765465775842     -8.267267939354571     -999     -999     -999
92     0     -999     5976     5     57.6070248078055     11.301543351532633     -999     -999     5.59651759499684
93     1     0.0006355982684213189     28497     9     74.57434982557429     -3.730709179244717     74.57444927629729     -3.7313441640189815     4.611116183019476
94     0     -999     2886     5     60.48271063031468     6.0736386406668545     -999     -999     8.67714417798561
95     0     -999     8102     5     56.877090162751465     -12.433395642306605     -999     -999     8.325868026993703
96     -1     -999     22082     2     139.94887789323454     5.432381351037126     -999     -999     -999
97     0     -999     31656     4     238.56254789320244     -2.5913054140934744     -999     -999     4.016127744020196
98     -1     -999     4321     2     195.82926386856866     -6.087102792231919     -999     -999     -999
99     -1     -999     29027     2     188.54842312960866     -3.7393691995430913     -999     -999     -999
100     0     -999     498     4     113.86499315982101     -10.525772472212914     -999     -999     4.247700973995961
101     -1     -999     18521     1     205.22250172933286     -2.333497622820135     -999     -999     -999
102     -1     -999     28503     3     187.02270590862463     1.665801891855623     -999     -999     -999
103     -1     -999     14870     2     147.90911801752844     -7.483399126751523     -999     -999     -999
104     1     0.0004901600930072982     36215     7     304.7747433862453     -1.6371265706173197     304.7756006894479     -1.637608298040489     4.215447820984991
105     0     -999     30389     4     247.19767806288309     1.0998183889686677     -999     -999     4.420893696980784
106     -1     -999     27776     3     349.96906577849427     -0.46543736892343246     -999     -999     -999
107     -1     -999     28836     3     51.949904186690404     0.3075442421983464     -999     -999     -999
108     -1     -999     18020     3     291.6059444505621     4.941948306533363     -999     -999     -999
109     -1     -999     25881     3     110.81929421413363     -2.39387360649291     -999     -999     -999
110     0     -999     4913     5     106.45393740010428     -0.16632695967009423     -999     -999     5.465409628988709
111     0     -999     28300     5     66.74489997957144     -2.8710105147808926     -999     -999     5.18029551699874
112     -1     -999     20340     3     250.5465685907768     -0.7680310279204776     -999     -999     -999
113     0     -999     9619     5     108.1992543081993     -0.9155488693739126     -999     -999     7.882203607994597
114     0     -999     24790     5     242.18283685619974     -3.551544951583686     -999     -999     5.325536149000982
115     -1     -999     9214     3     213.25268661397737     -1.981772626450209     -999     -999     -999
116     0     -999     1215     4     161.58638506003706     0.9470613449148217     -999     -999     3.9087309059977997
117     -1     -999     14487     3     252.42904673905034     7.241076666018652     -999     -999     -999
118     0     -999     7494     5     150.73148371842595     3.713389817407557     -999     -999     7.40403243698529
119     0     -999     1216     5     148.98559682273017     3.125835111748413     -999     -999     6.7085384909878485
120     0     -999     19181     5     106.36771371966589     -6.381774989590099     -999     -999     7.110260018002009
121     -1     -999     27258     3     324.6839460816457     4.186496090592196     -999     -999     -999
122     0     -999     23622     5     341.42600513128156     -5.378015635552799     -999     -999     6.584478500997648
123     1     0.0002585537968985477     33831     7     282.1310677912848     2.6268599610138144     282.13057274937944     2.6266264279641502     3.876895744004287
124     -1     -999     2466     3     203.07204866006217     -8.581103811083562     -999     -999     -999
125     0     -999     33495     4     319.27676515237704     -3.7236107353070294     -999     -999     4.157877577992622
126     0     -999     3826     4     226.34524670701134     0.7045252638446036     -999     -999     4.623554335994413
127     -1     -999     4696     3     52.889598319661076     -1.3953065985428772     -999     -999     -999
128     -1     -999     36854     3     161.3772538818911     0.4108440805333925     -999     -999     -999
129     -1     -999     30970     0     24.52582654094037     0.25943890419663035     -999     -999     -999
130     -1     -999     16033     3     52.808139242733155     -7.445507366039842     -999     -999     -999
131     1     0.0005684773475385215     11885     9     127.20415107199099     -3.0806108489797626     127.20399727271898     -3.081163738039589     3.8482595960085746
132     -1     -999     28111     2     159.46794460649693     4.151893460405975     -999     -999     -999
133     -1     -999     5083     3     323.14327656715835     -0.27051173519652344     -999     -999     -999
134     1     0.005583495756088239     4853     8     113.21411056014021     3.631576411302792     113.21963789398949     3.6269272535463495     3.8117820160114206
135     1     0.0003500485330861191     13204     6     276.82646686717334     5.79692734927562     276.8261726373938     5.79654229950462     3.943249375995947
136     -1     -999     3164     2     356.8472551077044     -9.039984645394114     -999     -999     -999
137     -1     -999     3330     3     359.012412879294     -8.602859670132876     -999     -999     -999
138     0     -999     28660     4     46.639827037686565     -1.8636935166171111     -999     -999     3.910925973992562
139     -1     -999     33001     2     67.81625997004711     3.494067590116175     -999     -999     -999
140     -1     -999     26368     3     346.3340608296555     -2.7716639548983393     -999     -999     -999
