# STEREO Data for run titled "SNR0.5"
#
# Total Number of Trials: 17902.0
# Solved Trials: 1008.0, 8.404902860001668% (of attempted solves), 5.630655792648866% (total)
# Solver Fails: 10899.0, 90.87801217376803% (of attempted solves), 60.881465758015864% (total)
# Timeout Fails: 86.0, 0.717084966230301% (of attempted solves), 0.4803932521505977% (total)
# Low Star Counts (<4): 5909.0, 33.00748519718467%
# Total Data Collection Time: 1.2592997607736227 hrs
# SNR: 0.5
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     0     -999     10084     7     158.1683284320345     -54.91224125231384     -999     -999     1141.844250028953
2     0     -999     35862     7     260.7279636046021     -46.07478543448631     -999     -999     0.01836102455854416
3     -1     -999     7630     3     63.34438540191048     -36.559379353092424     -999     -999     -999
4     0     -999     34853     11     214.29862395630536     -44.89105505605642     -999     -999     725.4979419521987
5     -1     -999     36640     3     312.38251647272483     -45.94501218782059     -999     -999     -999
6     0     -999     19829     7     107.67295086343064     -42.43118700580825     -999     -999     255.1478468813002
7     0     -999     17761     9     241.26645111575675     -38.28745227386883     -999     -999     0.02363603562116623
8     -1     -999     6429     9     239.747122728978     -40.66041926606599     -999     -999     -999
9     1     -0.00017578495340586642     7715     8     118.09897062533288     -31.816524689387595     118.09791110055897     -31.81674893639361     160.83818394690752
10     0     -999     36302     5     341.5936591617143     -46.60213137584242     -999     -999     0.02012401819229126
11     0     -999     21094     19     131.36395792330663     -54.091896306084486     -999     -999     568.1344489566982
12     -1     -999     13724     3     31.002948278827958     -40.91663507629839     -999     -999     -999
13     0     -999     9642     9     264.2248267856334     -39.50743896717448     -999     -999     0.0221149530261755
14     -1     -999     33448     3     29.56074881362004     -47.74247577160226     -999     -999     -999
15     0     -999     4842     7     13.494018847720813     -55.98594718109598     -999     -999     0.019588973373174667
16     1     0.0003655957040464841     10824     12     101.58926453616999     -36.518563264925696     101.58926615829263     -36.51819512995002     24.886599043384194
17     -1     -999     6290     3     79.09373370882706     -40.902389588994346     -999     -999     -999
18     0     -999     3722     9     285.9664913359552     -35.96042837238356     -999     -999     0.015431083738803864
19     -1     -999     29621     2     309.786689260158     -41.6664980973738     -999     -999     -999
20     1     0.00017402999834814636     33984     15     130.5398522469015     -47.726754948574495     130.53922155316042     -47.726602396791634     18.54152511805296
21     0     -999     25945     6     87.28440645027699     -44.92543823948077     -999     -999     0.014745863154530525
22     0     -999     15294     6     252.56634298360854     -52.86566821786729     -999     -999     0.028646085411310196
23     1     0.0035005141688984054     36596     11     106.57085067466484     -45.18539425545984     106.56554638883293     -45.182135448211135     29.97812512330711
