# STEREO Data for run titled "SNR0.6"
#
# Total Number of Trials: 8794.0
# Solved Trials: 1008.0, 16.909914443885253% (of attempted solves), 11.462360700477598% (total)
# Solver Fails: 4887.0, 81.98288877705083% (of attempted solves), 55.5719808960655% (total)
# Timeout Fails: 66.0, 1.1071967790639154% (of attempted solves), 0.7505117125312714% (total)
# Low Star Counts (<4): 2833.0, 32.21514669092563%
# Total Data Collection Time: 0.7213145587077856 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
1     -1     -999     17461     8     267.57154730121084     -40.779311502485456     -999     -999     -999     0.6      0
2     -1     -999     16276     3     171.63278713598754     -51.00467408869626     -999     -999     -999     0.6      0
3     -1     -999     15429     3     271.43357181457674     -52.840503464626295     -999     -999     -999     0.6      0
4     0     -999     5136     7     206.6761726734015     -36.25783317495756     -999     -999     0.021176878362894058     0.6      0
5     0     -999     28470     13     125.97341807781525     -46.756935742938126     -999     -999     0.020384090021252632     0.6      0
6     0     -999     18596     8     255.15893717752985     -51.70743634511362     -999     -999     0.02361810766160488     0.6      0
7     -1     -999     22738     1     54.11852933083289     -43.86454577133795     -999     -999     -999     0.6      0
8     0     -999     4215     5     218.76659772589727     -54.58399766676889     -999     -999     0.0638328492641449     0.6      0
9     0     -999     20812     12     271.7412473489688     -36.45650594026731     -999     -999     0.02548214979469776     0.6      0
10     -1     -999     5566     0     72.12591743127372     -47.01481314301769     -999     -999     -999     0.6      0
11     0     -999     2231     12     102.21878636739496     -52.242567096639746     -999     -999     0.02032192423939705     0.6      0
12     1     -0.0016059130850933911     22475     9     315.1870086718702     -39.54689314497368     315.187953647424     -39.54857986188901     58.885311940684915     0.6      0
13     0     -999     26151     6     10.27243409632053     -42.76197949607526     -999     -999     0.026112888008356094     0.6      0
14     1     -0.0007638444401933953     32653     7     321.1756655682455     -41.55666132045971     321.17635535848837     -41.55742356367532     276.20629710145295     0.6      0
15     0     -999     24172     5     298.3898611652198     -39.83070591254356     -999     -999     0.020900042727589607     0.6      0
16     -1     -999     20418     2     51.63499938051188     -50.48332376247836     -999     -999     -999     0.6      0
17     0     -999     8581     4     214.98026952977108     -50.277969628919124     -999     -999     0.016718870028853416     0.6      0
18     0     -999     18076     7     90.56308069088797     -46.124481446971146     -999     -999     938.7079670559615     0.6      0
19     0     -999     36555     4     308.27448703849643     -46.175115362372296     -999     -999     0.021374085918068886     0.6      0
20     0     -999     32076     5     142.65301982466656     -42.151989366789394     -999     -999     0.019778963178396225     0.6      0
21     -1     -999     9833     2     12.569548336014186     -50.84503248560297     -999     -999     -999     0.6      0
22     0     -999     8254     6     348.5929123572073     -49.263666026432354     -999     -999     643.7298508826643     0.6      0
23     -1     -999     28636     0     327.4053390686451     -42.28898324506078     -999     -999     -999     0.6      0
24     0     -999     5313     5     183.24661712105902     -47.2467929428824     -999     -999     324.28737194277346     0.6      0
25     0     -999     10075     4     108.7672851907045     -55.44243032662561     -999     -999     0.018605031073093414     0.6      0
26     -1     -999     6423     2     64.51489763411246     -50.58617891551972     -999     -999     -999     0.6      0
27     -1     -999     30038     3     6.996951710457064     -44.22089973507332     -999     -999     -999     0.6      0
28     0     -999     4481     7     345.47037576204093     -51.05266991474693     -999     -999     0.02099410630762577     0.6      0
29     0     -999     13969     8     203.48419450707019     -40.95942235969093     -999     -999     0.0210560392588377     0.6      0
30     0     -999     8223     11     285.404971383799     -36.35418916492361     -999     -999     298.751168185845     0.6      0
31     0     -999     4117     18     118.7557235793719     -47.120237702562406     -999     -999     58.886250015348196     0.6      0
32     0     -999     23054     4     143.71802189190842     -45.02988799460162     -999     -999     0.03766198642551899     0.6      0
33     0     -999     34815     4     194.2751209809432     -44.3824181379165     -999     -999     26.59783000126481     0.6      0
34     -1     -999     25035     1     321.18782040392364     -50.48736918304156     -999     -999     -999     0.6      0
35     -1     -999     33506     1     319.23507544459756     -48.71527450501796     -999     -999     -999     0.6      0
36     0     -999     25622     6     10.11585195995236     -44.46802577351257     -999     -999     0.023807166144251823     0.6      0
