# STEREO Data for run titled "SNR1"
#
# Total Number of Trials: 3304.0
# Solved Trials: 1008.0, 46.25975217989904% (of attempted solves), 30.508474576271187% (total)
# Solver Fails: 1150.0, 52.77650298301973% (of attempted solves), 34.80629539951574% (total)
# Timeout Fails: 21.0, 0.9637448370812299% (of attempted solves), 0.635593220338983% (total)
# Low Star Counts (<4): 1125.0, 34.049636803874094%
# Total Data Collection Time: 0.2884247080047175 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
1     -1     -999     28060     2     71.54864771069369     -44.68907074121321     -999     -999     -999     1.0      0
2     -1     -999     30775     2     41.76922314207481     -48.77589396650256     -999     -999     -999     1.0      0
3     1     0.0023353909283443386     6901     8     154.3115139015954     -52.92255033912397     154.30814349361222     -52.920638991439475     127.58290395140648     1.0      0
4     0     -999     4731     6     288.8555013311609     -53.13570942464724     -999     -999     791.3465588353574     1.0      0
5     0     -999     609     5     168.12506670957225     -53.00814479682653     -999     -999     241.7227760888636     1.0      0
6     0     -999     36034     12     135.7646321599146     -44.66668764465392     -999     -999     1177.2901359945536     1.0      0
7     -1     -999     28185     1     77.46815045610502     -45.95855255672187     -999     -999     -999     1.0      0
8     1     -0.0009825477207314748     21513     8     131.24544572260174     -43.10909258529035     131.24455997923585     -43.10996768761663     164.43004901520908     1.0      0
9     1     0.0013756958652777485     10818     14     123.67407160783856     -35.24120394172306     123.67337778958775     -35.23983904297588     208.44025700353086     1.0      0
10     1     -0.0008518146292857409     18421     9     156.13137725492018     -43.93766526837668     156.13077696194722     -43.93844297029956     91.84351400472224     1.0      0
11     0     -999     23843     5     163.29380371474645     -43.50538872152369     -999     -999     64.06271806918085     1.0      0
12     -1     -999     1119     2     11.382751184592005     -38.316524288558526     -999     -999     -999     1.0      0
13     0     -999     28063     7     214.8193346061753     -43.04461194188459     -999     -999     1002.3014310281724     1.0      0
14     -1     -999     22720     2     48.13566801698519     -43.62576506967802     -999     -999     -999     1.0      0
15     0     -999     37091     5     174.64213357812451     -46.27419726118708     -999     -999     231.8990018684417     1.0      0
16     0     -999     29482     4     202.60482957609176     -45.72868269813256     -999     -999     108.58924593776464     1.0      0
