# STEREO Data for run titled "SNR5"
#
# Total Number of Trials: 2059.0
# Solved Trials: 1008.0, 70.78651685393258% (of attempted solves), 48.95580378824672% (total)
# Solver Fails: 401.0, 28.160112359550563% (of attempted solves), 19.475473530840215% (total)
# Timeout Fails: 15.0, 1.053370786516854% (of attempted solves), 0.7285089849441476% (total)
# Low Star Counts (<4): 635.0, 30.840213695968917%
# Total Data Collection Time: 0.22155958623890507 hrs
# SNR: 5.0
# skip_header = 24.0
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time
1     1     -0.00017710594072894992     29703     9     136.5046678558646     -47.95703963378803     136.50342805123123     -47.957162222241024     143.36693612858653
2     0     -999     27419     4     82.83890448073024     -44.865322602357494     -999     -999     439.7345329634845
3     -1     -999     28870     3     37.630148477880724     -43.32854965152713     -999     -999     -999
4     1     -0.0003485989959699509     20807     5     290.78740239138244     -37.25431970484085     290.7871804546936     -37.25465469875973     113.78405196592212
5     1     -0.0009054322308088558     2724     5     38.56974395119608     -38.11791192391133     38.570925247221304     -38.11870685492474     251.04473996907473
6     1     -0.001959921531415887     15972     6     96.80006912515572     -50.44927251321602     96.80095661142016     -50.451169447093605     33.86823902837932
7     -1     -999     33442     3     12.351258864919608     -48.43853461509485     -999     -999     -999
8     0     -999     8333     4     277.8389025519051     -32.44498286502879     -999     -999     100.527263013646
9     0     -999     16538     4     61.30309236722181     -40.541583829895984     -999     -999     384.14832297712564
10     0     -999     10259     4     175.89247180281893     -54.78425429175415     -999     -999     106.28840303979814
11     -1     -999     13172     2     348.58387640985904     -37.84268633507859     -999     -999     -999
12     1     0.0005844137541330952     7867     5     156.23651705079325     -31.36287154275209     156.23386374602217     -31.362342951721253     77.12265592999756
13     1     -0.0014068633411667975     33253     11     228.1888914579097     -46.802043725602374     228.18627467408234     -46.80330925004704     55.29241799376905
14     1     -0.00044244052247677246     26031     5     294.62508792433664     -44.916214420957836     294.62441155080364     -44.91670231848933     58.176286052912474
15     -1     -999     6213     3     349.0035429752871     -55.17906412730844     -999     -999     -999
16     0     -999     13494     4     72.2723922898226     -39.229418730514055     -999     -999     269.1929859574884
17     -1     -999     18944     3     187.9210315118684     -36.72027193174908     -999     -999     -999
18     1     6.0974135450919675e-05     19593     5     37.03059207019452     -40.14721469681044     37.031703242856125     -40.14727985571312     114.76896307431161
19     0     -999     30807     5     161.00479072648878     -45.40340773338457     -999     -999     138.31349601969123
20     0     -999     20145     4     14.495349865462812     -46.871454044774666     -999     -999     259.1577770654112
21     -1     -999     23354     3     49.32971503076469     -44.33756169600284     -999     -999     -999
22     0     -999     22737     4     163.7206512984402     -52.052166105839     -999     -999     66.29615998826921
23     1     0.00040459072284448894     10180     7     37.16537782726732     -41.663905507013986     37.166745270156134     -41.663737531309465     365.5592370778322
24     1     -0.000569447441385762     31011     7     114.6343312225562     -48.80916359117332     114.63398836618961     -48.80972793029763     311.95550016127527
25     -1     -999     36315     2     82.90368024968419     -44.00408418295625     -999     -999     -999
26     0     -999     16675     4     23.193434400296873     -36.59676782463161     -999     -999     118.56860597617924
27     1     -3.9599540002654976e-05     26388     11     116.72815571797265     -40.91575433163949     116.72795137243357     -40.91579598716146     165.2243530843407
28     1     -0.0010653449995245978     10113     5     281.3334194609045     -36.411571728440194     281.3331335039449     -36.412685113159775     138.03914794698358
29     1     -0.00040059160536287663     30335     13     133.16504965709623     -40.936010903175436     133.16414607908015     -40.936447745699915     54.896042915061116
30     0     -999     15226     4     87.20397316806698     -38.04506945517425     -999     -999     96.68450080789626
31     0     -999     31757     5     91.65110798024523     -42.10961012871509     -999     -999     344.9386169668287
32     1     -0.0007504128192081794     26338     5     65.44020856946116     -42.34987392039257     65.43985080360441     -42.35064485755915     19.885692978277802
33     0     -999     27997     4     95.87853416294666     -42.47210415835501     -999     -999     143.79756595008075
34     0     -999     29324     4     203.41553007429877     -42.82681738938882     -999     -999     245.62474712729454
35     0     -999     33978     4     8.412392593950125     -45.52162750534072     -999     -999     491.97649606503546
36     1     -0.00185312210749089     11084     8     261.3307594459938     -43.05766342091522     261.3302361990071     -43.05947715089551     59.38161490485072
37     -1     -999     946     2     338.83568757946927     -37.456472351055375     -999     -999     -999
38     -1     -999     3342     3     197.8305733816009     -35.792244877856035     -999     -999     -999
39     1     0.00026090561730285344     29669     6     171.26159221037702     -48.886348481958784     171.26027275851067     -48.886087804041566     22.085847100242972
40     1     -6.5346638436381e-05     26525     11     140.41600726111272     -40.40155310321817     140.41540999552888     -40.401630799543724     9.011485846713185
41     -1     -999     1366     3     230.6717186247915     -51.03323229226037     -999     -999     -999
42     1     -0.0047327468532145645     2196     7     300.71188411148603     -36.176159129907994     300.71346550665305     -36.180823428757165     34.024647902697325
43     -1     -999     24232     3     240.49314873436197     -44.636764161961985     -999     -999     -999
44     -1     -999     2167     2     358.7179295132908     -39.33193024086295     -999     -999     -999
45     0     -999     34699     5     240.14944700177668     -48.081862663357725     -999     -999     1396.4723441749811
46     -1     -999     19933     2     278.7154031328897     -52.051122076765765     -999     -999     -999
47     -1     -999     5471     3     177.93045044162463     -53.431265607043834     -999     -999     -999
48     0     -999     31064     4     353.1703582466144     -41.63955969984091     -999     -999     600.9770159143955
49     0     -999     17619     4     351.2743130280953     -48.48572489038517     -999     -999     198.04039387963712
50     -1     -999     19955     2     303.8003378019087     -50.196244664478634     -999     -999     -999
51     0     -999     32765     4     305.3872325414964     -42.364824494704706     -999     -999     74.67638119123876
52     1     -0.000658770953727128     25625     7     93.09517817717762     -49.61085405339738     93.09453687159755     -49.611499319559215     58.425985975191
53     1     -0.00010787400553624593     22004     5     147.70130843016065     -37.85599409323992     147.70098836418262     -37.85612157949465     36.16290003992617
54     -1     -999     25573     15     251.72540240717518     -40.70908116691856     -999     -999     -999
55     -1     -999     31902     3     15.605837827317465     -48.09688865840003     -999     -999     -999
56     1     -0.0018294833952978706     1215     7     338.5442792875101     -47.31862442389677     338.54621238494013     -47.3201849236754     83.75384588725865
57     1     -0.0003503712468884146     11425     6     349.9088291244149     -44.78861238032649     349.9089848210075     -44.78899939230317     357.1466619614512
58     1     -0.00010816119938539259     25346     5     10.01007145686643     -49.016644277319195     10.013505284887874     -49.01690084559671     51.601581973955035
59     1     -0.001073109321339416     3829     10     277.06461855297255     -37.748915454148204     277.0640412464688     -37.75005850194256     74.8743989970535
60     -1     -999     11806     3     17.195615450456096     -37.23536414071804     -999     -999     -999
61     1     -0.0005367672529601464     32310     6     53.21981176517607     -48.73156639646648     53.21941572160297     -48.73210143715726     28.360213851556182
62     -1     -999     17183     3     344.414651539441     -54.23332855974183     -999     -999     -999
63     -1     -999     25059     1     72.23681930402215     -45.337236271948086     -999     -999     -999
64     1     -7.402259481636975e-05     2810     13     127.00792543581024     -37.87150677337082     127.00688188401756     -37.87147785614244     179.66869100928307
65     1     -0.001318476469961638     29061     7     233.35379829370672     -48.104197866094246     233.34835501742825     -48.105700894769534     57.828664779663086
66     1     -0.0009798040033714983     37015     9     251.71342170178485     -43.88890417950618     251.71283450364407     -43.88989367577823     31.691772863268852
67     1     -0.0002857095609627436     7370     7     108.49767595712304     -40.11969341307304     108.4972952007306     -40.11991050772399     122.08472192287445
68     -1     -999     2166     0     336.2737704948248     -36.90266927032583     -999     -999     -999
69     1     -0.003777789246335317     15463     6     232.8643702525965     -49.28034954995141     232.86016059322247     -49.28369552030302     302.80487099662423
70     -1     -999     27866     3     49.94363645176305     -43.57903786080075     -999     -999     -999
71     1     -0.0007166734746917314     26601     8     184.6574623529528     -40.302940990305814     184.65596840428353     -40.30361671164543     216.97487821802497
72     1     -8.642715491902209e-05     36762     5     164.83903401339222     -43.68730825133184     164.83781414924317     -43.68743598708496     53.07646212168038
73     -1     -999     2954     2     135.24163596105325     -36.185050770329674     -999     -999     -999
74     1     0.0012738186022218656     4130     9     106.12492963909656     -44.52913399811827     106.12455635087592     -44.52776351298759     30.46066011302173
75     -1     -999     30015     1     288.7431381915823     -47.91068156606672     -999     -999     -999
76     -1     -999     35038     2     322.7542360437774     -48.061917598637145     -999     -999     -999
77     0     -999     14647     6     233.54235018616535     -41.98589468376849     -999     -999     771.3963990099728
78     1     -0.000534259925082381     19062     8     283.7255284333492     -41.50013132416839     283.7252689194737     -41.50063839639765     141.6050740517676
79     1     -0.00022581216111916547     1104     6     111.58335004595295     -40.84880932205697     111.58280289517911     -40.84895316698401     235.80481600947678
80     1     -1.9067144556572657e-05     18186     13     116.84347656449778     -46.40230620413502     116.84465051074629     -46.40249782792165     40.171073051169515
81     -1     -999     22740     1     45.951088792002956     -42.802283366137466     -999     -999     -999
82     0     -999     17341     4     309.6995627604608     -51.202695120704085     -999     -999     337.5000860542059
83     1     0.0009203163557245375     14397     6     108.8322531962411     -49.84468192462402     108.83207205263517     -49.843768936007244     161.43918503075838
84     -1     -999     23783     3     309.0009071936902     -45.089609274029016     -999     -999     -999
85     1     -0.0006922499010002525     20667     5     248.41707696047476     -36.94012991763235     248.41693973415664     -36.94081629139319     337.3637569602579
86     -1     -999     35137     3     58.88654940595957     -47.78959921579137     -999     -999     -999
87     1     -0.000540297065391826     36420     9     276.55972539931395     -45.71043195426373     276.55952138459315     -45.710965505413014     95.84988700225949
88     -1     -999     8651     0     57.296936852363736     -43.670572581129434     -999     -999     -999
89     0     -999     3451     4     323.0870218685526     -46.58035855129224     -999     -999     231.16669594310224
90     1     -0.00024069687802352746     14805     11     150.76537257463616     -52.87918339243487     150.7642434664774     -52.87942492101834     73.96546402014792
91     -1     -999     25904     0     77.03860226798237     -44.78522592539923     -999     -999     -999
92     0     -999     10188     4     326.2479749650291     -34.65234923352766     -999     -999     223.52178604342043
93     1     -0.0001821752017434619     16287     12     145.49930648730606     -52.94517747340059     145.49837636573344     -52.94539592932272     92.98502281308174
94     1     -0.001180559572809159     34891     6     210.7287113783676     -44.08536105839992     210.72835969960104     -44.08652521605777     223.52901799604297
95     1     -1.872441618644416e-05     23459     8     144.87958722098978     -38.86056390017456     144.87831810829198     -38.860609787634836     82.25204818882048
96     -1     -999     33308     2     288.4695462277065     -48.6302290075626     -999     -999     -999
97     -1     -999     16969     2     70.1787510545881     -37.55366564328237     -999     -999     -999
98     1     -0.00022336013816470768     17081     6     300.78341911456414     -54.37755033531498     300.7823873657467     -54.37775777858336     290.0328098330647
99     1     -0.00014691327968563428     27126     17     118.41714106983666     -49.233995462852604     118.4164183959202     -49.23414904549178     28.29403313808143
100     -1     -999     14530     3     43.171927271213214     -50.33064142836778     -999     -999     -999
101     1     -0.0007014643323088876     30668     7     225.2372825163004     -40.54805382548062     225.2369129770333     -40.54875295163206     51.3800629414618
102     1     -0.001340223579028077     36128     8     210.94136509717683     -46.22965553821297     210.9406496839831     -46.2309789765052     310.1983049418777
103     1     -0.00013443234637122714     16829     22     112.62638549369942     -38.9182755475746     112.62567142791983     -38.91832992754089     191.93404889665544
104     0     -999     12220     4     57.450740769850846     -38.465568317351305     -999     -999     0.023513799533247948
105     1     -0.0005101481914877581     35871     7     197.1066214398067     -47.31424248188807     197.10521155022778     -47.31475090918016     62.165929935872555
106     1     -0.0007178111187045033     11939     7     182.34619764721586     -52.526127119886986     182.34432494929575     -52.52674044480686     15.200770925730467
107     1     -0.0012377990356995383     26386     7     184.20317823897233     -43.080037029611184     184.20278738472868     -43.08125447397206     79.86039505340159
108     -1     -999     23456     2     291.80807556647324     -49.74860725682263     -999     -999     -999
109     1     -0.00016506475151345512     12827     10     115.43429390609644     -49.89631793330125     115.433659239784     -49.896568747134125     51.79754993878305
110     0     -999     29570     4     313.5610975007964     -41.22651459819583     -999     -999     138.41819390654564
111     0     -999     19811     4     151.6895805324145     -49.083019445217715     -999     -999     138.6195260565728
112     -1     -999     25868     2     310.07840355504186     -41.4515383833064     -999     -999     -999
113     1     -0.0008078676813525476     21535     13     112.71004202455143     -40.034888036388786     112.70911882778042     -40.03559666696355     66.94966997019947
114     -1     -999     6816     1     58.60860598319932     -56.41497393208121     -999     -999     -999
115     -1     -999     20666     3     298.80789966728736     -42.55305992200504     -999     -999     -999
116     1     -0.0009081889341686633     5699     5     310.8580290188954     -39.77826163018543     310.8578051936721     -39.779233697605086     92.22888108342886
117     1     -0.00020753805735296282     13536     5     88.21340799643764     -39.89303910910815     88.21320545852346     -39.89322585342003     236.5455359686166
118     -1     -999     36350     1     36.88522286138177     -45.80648762405727     -999     -999     -999
119     -1     -999     26422     1     332.01840978438685     -49.0401327690342     -999     -999     -999
120     1     -0.0007300954491640255     4346     6     245.26357493024022     -54.98985425473779     245.26363346296677     -54.99058626933874     129.31069801561534
121     1     -0.0020211551421311924     29973     6     9.875023828723887     -42.96233830557908     9.874456161517822     -42.96439357678216     88.63198407925665
122     1     -8.700433087938109e-05     4770     25     113.40349018435624     -38.72375435425767     113.403391113301     -38.72386046408594     86.45232184790075
123     1     0.0008551570489316873     34395     9     91.33267309565106     -44.62788142081953     91.33225366268537     -44.62699214691168     17.83123705536127
124     0     -999     18400     5     218.57568227090948     -52.512238941168064     -999     -999     1136.8471111636609
125     1     -0.00021244029785805196     29164     9     280.94752498847737     -47.221276055033655     280.94730846829464     -47.22149931053039     32.13478694669902
126     1     -0.0012378039617928493     7937     5     203.14734493844531     -33.31231015313185     203.1463960539641     -33.313440657733246     259.2915459536016
127     -1     -999     17147     2     307.55239403756354     -54.29849080688353     -999     -999     -999
128     -1     -999     24156     3     47.56657051259387     -46.39098080605045     -999     -999     -999
129     1     -0.0003376762221236618     20035     5     235.35273814639748     -52.56162839712565     235.3518539087675     -52.56190838389953     100.74644698761404
130     1     -0.0005405461815115586     31312     5     239.45234030541488     -48.235471471800864     239.45097018596323     -48.23608444117017     67.6792289596051
131     1     -0.0008221713009319842     15664     5     183.24007253235547     -37.604723778591755     183.23963955274354     -37.60552276345882     30.77984182164073
132     1     -0.0002934760474460063     21888     24     117.71499625397064     -38.3106638417939     117.71467840315974     -38.31097891568313     145.72151913307607
133     1     -0.002625726497704761     31028     5     337.11939437808553     -41.43623607512583     337.1217435910392     -41.43893426516733     226.8271918874234
134     -1     -999     7861     2     151.6554622786915     -31.45278921854782     -999     -999     -999
135     1     -5.3111524053406356e-05     10208     8     228.91136819232977     -48.987130467707516     228.90418771328942     -48.988350269442044     193.56632116250694
136     1     -0.0016732111649631065     14310     7     343.68583287583346     -50.10867843443078     343.68723550305947     -50.11050706460718     24.196268990635872
137     1     -0.0003812349748102406     5040     10     284.00596775737233     -40.356997371928856     284.00630439025514     -40.35745331431282     20.23397502489388
138     -1     -999     18839     3     60.00718332402854     -48.71505880642537     -999     -999     -999
139     1     -4.107138604325655e-05     5233     8     101.8212137027773     -55.32328424188209     101.82035069245701     -55.32336881742275     149.36872688122094
140     1     -0.0007849728183373372     12058     11     208.74391511811442     -52.68196890946794     208.74264472697234     -52.68267545539975     193.736189045012
